nfhs4_statecode,nfhs4_state,SL_NO,ITEM_CATEGORY,region,mpce
MP,Madhya Pradesh,20,education,Rural,52.6
JK,Jammu & Kashmir,21,medical (institutional),Rural,13.94
JH,Jharkhand,21,medical (institutional),Rural,9.84
KA,Karnataka,21,medical (institutional),Rural,24.56
KL,Kerala,21,medical (institutional),Rural,136.09
MP,Madhya Pradesh,21,medical (institutional),Rural,12.16
JK,Jammu & Kashmir,22,medical (non-institutional),Rural,38.19
JH,Jharkhand,22,medical (non-institutional),Rural,30.82
KA,Karnataka,22,medical (non-institutional),Rural,34.58
KL,Kerala,22,medical (non-institutional),Rural,166.08
MP,Madhya Pradesh,22,medical (non-institutional),Rural,40.22
JK,Jammu & Kashmir,23,entertainment,Rural,30.4
JH,Jharkhand,23,entertainment,Rural,15.48
KA,Karnataka,23,entertainment,Rural,36.34
KL,Kerala,23,entertainment,Rural,60.41
MP,Madhya Pradesh,23,entertainment,Rural,13.27
JK,Jammu & Kashmir,24,minor durable-type goods,Rural,6.95
JH,Jharkhand,24,minor durable-type goods,Rural,7.5
KA,Karnataka,24,minor durable-type goods,Rural,5.64
KL,Kerala,24,minor durable-type goods,Rural,15.85
MP,Madhya Pradesh,24,minor durable-type goods,Rural,4.93
JK,Jammu & Kashmir,25,toilet articles,Rural,27.05
JH,Jharkhand,25,toilet articles,Rural,27.11
KA,Karnataka,25,toilet articles,Rural,40.01
KL,Kerala,25,toilet articles,Rural,60.8
MP,Madhya Pradesh,25,toilet articles,Rural,34.61
JK,Jammu & Kashmir,26,other household consumables,Rural,30.02
JH,Jharkhand,26,other household consumables,Rural,29.07
KA,Karnataka,26,other household consumables,Rural,39.47
KL,Kerala,26,other household consumables,Rural,57.99
MP,Madhya Pradesh,26,other household consumables,Rural,29.16
JK,Jammu & Kashmir,27,consum. services excl. conveyance,Rural,99.54
JH,Jharkhand,27,consum. services excl. conveyance,Rural,52.68
KA,Karnataka,27,consum. services excl. conveyance,Rural,81.55
KL,Kerala,27,consum. services excl. conveyance,Rural,183.76
MP,Madhya Pradesh,27,consum. services excl. conveyance,Rural,66.02
JK,Jammu & Kashmir,28,conveyance,Rural,120.21
JH,Jharkhand,28,conveyance,Rural,48.87
KA,Karnataka,28,conveyance,Rural,101.34
KL,Kerala,28,conveyance,Rural,328.95
MP,Madhya Pradesh,28,conveyance,Rural,79.25
JK,Jammu & Kashmir,29,rent,Rural,1.2
JH,Jharkhand,29,rent,Rural,1.26
KA,Karnataka,29,rent,Rural,9.84
KL,Kerala,29,rent,Rural,34.68
MP,Madhya Pradesh,29,rent,Rural,11.93
JK,Jammu & Kashmir,30,taxes & cesses,Rural,10.45
JH,Jharkhand,30,taxes & cesses,Rural,1.23
KA,Karnataka,30,taxes & cesses,Rural,19.82
KL,Kerala,30,taxes & cesses,Rural,24.33
MP,Madhya Pradesh,30,taxes & cesses,Rural,3.87
JK,Jammu & Kashmir,31,durable goods,Rural,116.82
JH,Jharkhand,31,durable goods,Rural,51.09
KA,Karnataka,31,durable goods,Rural,63.13
KL,Kerala,31,durable goods,Rural,297.76
MP,Madhya Pradesh,31,durable goods,Rural,132.16
JK,Jammu & Kashmir,32,non-food: total (16-31),Rural,997.03
JH,Jharkhand,32,non-food: total (16-31),Rural,597.63
KA,Karnataka,32,non-food: total (16-31),Rural,874.46
KL,Kerala,32,non-food: total (16-31),Rural,2060.98
MP,Madhya Pradesh,32,non-food: total (16-31),Rural,824.22
JK,Jammu & Kashmir,33,total expenditure (15+32),Rural,2188.48
JH,Jharkhand,33,total expenditure (15+32),Rural,1361.36
KA,Karnataka,33,total expenditure (15+32),Rural,1890.65
KL,Kerala,33,total expenditure (15+32),Rural,3726.6
MP,Madhya Pradesh,33,total expenditure (15+32),Rural,1641.17
JK,Jammu & Kashmir,34,"cooked meals recd. free inworkpl.*",Rural,2.37
JH,Jharkhand,34,"cooked meals recd. free inworkpl.*",Rural,0.73
KA,Karnataka,34,"cooked meals recd. free inworkpl.*",Rural,1.64
KL,Kerala,34,"cooked meals recd. free inworkpl.*",Rural,14.74
MP,Madhya Pradesh,34,"cooked meals recd. free inworkpl.*",Rural,0.52
JK,Jammu & Kashmir,35,cooked meals recd. as assistance *,Rural,13.63
JH,Jharkhand,35,cooked meals recd. as assistance *,Rural,19.56
KA,Karnataka,35,cooked meals recd. as assistance *,Rural,39.07
KL,Kerala,35,cooked meals recd. as assistance *,Rural,22.32
MP,Madhya Pradesh,35,cooked meals recd. as assistance *,Rural,14.46
JK,Jammu & Kashmir,36,clothing & footwear (2nd hand) **,Rural,5.58
JH,Jharkhand,36,clothing & footwear (2nd hand) **,Rural,0.07
KA,Karnataka,36,clothing & footwear (2nd hand) **,Rural,0.05
KL,Kerala,36,clothing & footwear (2nd hand) **,Rural,0.05
MP,Madhya Pradesh,36,clothing & footwear (2nd hand) **,Rural,0.37
JK,Jammu & Kashmir,37,"@books, journals, etc. (2nd hand)",Rural,1.19
JH,Jharkhand,37,"@books, journals, etc. (2nd hand)",Rural,0.19
KA,Karnataka,37,"@books, journals, etc. (2nd hand)",Rural,0.21
KL,Kerala,37,"@books, journals, etc. (2nd hand)",Rural,0.43
MP,Madhya Pradesh,37,"@books, journals, etc. (2nd hand)",Rural,0.31
JK,Jammu & Kashmir,38,"$durables (2ndhand)",Rural,1.78
JH,Jharkhand,38,"$durables (2ndhand)",Rural,0.64
KA,Karnataka,38,"$durables (2ndhand)",Rural,0.3
KL,Kerala,38,"$durables (2ndhand)",Rural,13.74
MP,Madhya Pradesh,38,"$durables (2ndhand)",Rural,0.76
JK,Jammu & Kashmir,39,imputed rent,Rural,42.26
JH,Jharkhand,39,imputed rent,Rural,20.23
KA,Karnataka,39,imputed rent,Rural,235.43
KL,Kerala,39,imputed rent,Rural,358.75
MP,Madhya Pradesh,39,imputed rent,Rural,27.86
MH,Maharashtra,1,cereal,Rural,144.24
MN,Manipur,1,cereal,Rural,333.09
ML,Meghalaya,1,cereal,Rural,171.58
MZ,Mizoram,1,cereal,Rural,195.05
NL,Nagaland,1,cereal,Rural,294.99
MH,Maharashtra,2,gram,Rural,2.56
MN,Manipur,2,gram,Rural,0.89
ML,Meghalaya,2,gram,Rural,0.13
MZ,Mizoram,2,gram,Rural,0.25
NL,Nagaland,2,gram,Rural,0.88
MH,Maharashtra,3,cereal substitutes,Rural,6.69
MN,Manipur,3,cereal substitutes,Rural,0.72
ML,Meghalaya,3,cereal substitutes,Rural,1.26
MZ,Mizoram,3,cereal substitutes,Rural,0.45
NL,Nagaland,3,cereal substitutes,Rural,2.02
MH,Maharashtra,4,pulses and pulse products,Rural,56.54
MN,Manipur,4,pulses and pulse products,Rural,23.17
ML,Meghalaya,4,pulses and pulse products,Rural,21.67
MZ,Mizoram,4,pulses and pulse products,Rural,46
NL,Nagaland,4,pulses and pulse products,Rural,27.15
MH,Maharashtra,5,milk and milk products,Rural,129.85
MN,Manipur,5,milk and milk products,Rural,34.6
ML,Meghalaya,5,milk and milk products,Rural,41.67
MZ,Mizoram,5,milk and milk products,Rural,63.67
NL,Nagaland,5,milk and milk products,Rural,84.41
MH,Maharashtra,6,sugar,Rural,34.34
MN,Manipur,6,sugar,Rural,12.84
ML,Meghalaya,6,sugar,Rural,25.14
MZ,Mizoram,6,sugar,Rural,30.97
NL,Nagaland,6,sugar,Rural,16.78
MH,Maharashtra,7,salt,Rural,2.98
MN,Manipur,7,salt,Rural,4.22
ML,Meghalaya,7,salt,Rural,3.39
MZ,Mizoram,7,salt,Rural,4.45
NL,Nagaland,7,salt,Rural,3.2
MH,Maharashtra,8,edible oil,Rural,76.85
MN,Manipur,8,edible oil,Rural,41.83
ML,Meghalaya,8,edible oil,Rural,60.67
MZ,Mizoram,8,edible oil,Rural,69.59
NL,Nagaland,8,edible oil,Rural,55.23
MH,Maharashtra,9,"egg, fish & meat",Rural,77.4
MN,Manipur,9,"egg, fish & meat",Rural,173.8
ML,Meghalaya,9,"egg, fish & meat",Rural,282.2
MZ,Mizoram,9,"egg, fish & meat",Rural,324.23
NL,Nagaland,9,"egg, fish & meat",Rural,247.98
MH,Maharashtra,10,vegetables,Rural,129.22
MN,Manipur,10,vegetables,Rural,115.2
ML,Meghalaya,10,vegetables,Rural,169.19
MZ,Mizoram,10,vegetables,Rural,306.99
NL,Nagaland,10,vegetables,Rural,148.81
MH,Maharashtra,11,fruits (fresh),Rural,47.56
MN,Manipur,11,fruits (fresh),Rural,35.56
ML,Meghalaya,11,fruits (fresh),Rural,50.66
MZ,Mizoram,11,fruits (fresh),Rural,43.21
NL,Nagaland,11,fruits (fresh),Rural,61.42
MH,Maharashtra,12,fruits (dry),Rural,36.77
MN,Manipur,12,fruits (dry),Rural,6.39
ML,Meghalaya,12,fruits (dry),Rural,1.46
MZ,Mizoram,12,fruits (dry),Rural,3.95
NL,Nagaland,12,fruits (dry),Rural,6.9
MH,Maharashtra,13,spices,Rural,66.36
MN,Manipur,13,spices,Rural,48.66
ML,Meghalaya,13,spices,Rural,48.95
MZ,Mizoram,13,spices,Rural,46.54
NL,Nagaland,13,spices,Rural,38.98
MH,Maharashtra,14,"beverages, refreshments, etc.",Rural,156.56
MN,Manipur,14,"beverages, refreshments, etc.",Rural,124.93
ML,Meghalaya,14,"beverages, refreshments, etc.",Rural,201.57
MZ,Mizoram,14,"beverages, refreshments, etc.",Rural,191
NL,Nagaland,14,"beverages, refreshments, etc.",Rural,137.69
MH,Maharashtra,15,food: total (1-14),Rural,967.91
MN,Manipur,15,food: total (1-14),Rural,955.89
ML,Meghalaya,15,food: total (1-14),Rural,1079.53
MZ,Mizoram,15,food: total (1-14),Rural,1326.36
NL,Nagaland,15,food: total (1-14),Rural,1126.43
MH,Maharashtra,16,"pan, tobacco & intoxicants",Rural,48.59
MN,Manipur,16,"pan, tobacco & intoxicants",Rural,48.95
ML,Meghalaya,16,"pan, tobacco & intoxicants",Rural,165.42
MZ,Mizoram,16,"pan, tobacco & intoxicants",Rural,261.79
NL,Nagaland,16,"pan, tobacco & intoxicants",Rural,84.08
MH,Maharashtra,17,fuel and light,Rural,171.65
MN,Manipur,17,fuel and light,Rural,162.05
ML,Meghalaya,17,fuel and light,Rural,171.97
MZ,Mizoram,17,fuel and light,Rural,218.81
NL,Nagaland,17,fuel and light,Rural,191.73
MH,Maharashtra,18,clothing & bedding,Rural,146.51
MN,Manipur,18,clothing & bedding,Rural,87.74
ML,Meghalaya,18,clothing & bedding,Rural,118.34
MZ,Mizoram,18,clothing & bedding,Rural,172.89
NL,Nagaland,18,clothing & bedding,Rural,119.62
MH,Maharashtra,19,footwear,Rural,25.19
MN,Manipur,19,footwear,Rural,20.8
ML,Meghalaya,19,footwear,Rural,32.66
MZ,Mizoram,19,footwear,Rural,69.58
NL,Nagaland,19,footwear,Rural,35.56
MH,Maharashtra,20,education,Rural,64.09
MN,Manipur,20,education,Rural,149.11
ML,Meghalaya,20,education,Rural,68.94
MZ,Mizoram,20,education,Rural,70.79
NL,Nagaland,20,education,Rural,92.31
MH,Maharashtra,21,medical (institutional),Rural,34
MN,Manipur,21,medical (institutional),Rural,15.82
ML,Meghalaya,21,medical (institutional),Rural,5.61
MZ,Mizoram,21,medical (institutional),Rural,10.1
NL,Nagaland,21,medical (institutional),Rural,11.02
MH,Maharashtra,22,medical (non-institutional),Rural,40.19
MN,Manipur,22,medical (non-institutional),Rural,15.48
ML,Meghalaya,22,medical (non-institutional),Rural,12.68
MZ,Mizoram,22,medical (non-institutional),Rural,32.11
NL,Nagaland,22,medical (non-institutional),Rural,30.23
MH,Maharashtra,23,entertainment,Rural,27.03
MN,Manipur,23,entertainment,Rural,28.83
ML,Meghalaya,23,entertainment,Rural,46.39
MZ,Mizoram,23,entertainment,Rural,49.64
NL,Nagaland,23,entertainment,Rural,47.55
MH,Maharashtra,24,minor durable-type goods,Rural,8.11
MN,Manipur,24,minor durable-type goods,Rural,17.6
ML,Meghalaya,24,minor durable-type goods,Rural,14.69
MZ,Mizoram,24,minor durable-type goods,Rural,18.91
NL,Nagaland,24,minor durable-type goods,Rural,21.82
MH,Maharashtra,25,toilet articles,Rural,44.98
MN,Manipur,25,toilet articles,Rural,33.12
ML,Meghalaya,25,toilet articles,Rural,48.74
MZ,Mizoram,25,toilet articles,Rural,53.82
NL,Nagaland,25,toilet articles,Rural,64.05
MH,Maharashtra,26,other household consumables,Rural,40.34
MN,Manipur,26,other household consumables,Rural,25.87
ML,Meghalaya,26,other household consumables,Rural,38.54
MZ,Mizoram,26,other household consumables,Rural,28.96
NL,Nagaland,26,other household consumables,Rural,26.15
MH,Maharashtra,27,consum. services excl. conveyance,Rural,99.81
MN,Manipur,27,consum. services excl. conveyance,Rural,58.25
ML,Meghalaya,27,consum. services excl. conveyance,Rural,95.57
MZ,Mizoram,27,consum. services excl. conveyance,Rural,114.48
NL,Nagaland,27,consum. services excl. conveyance,Rural,199.98
MH,Maharashtra,28,conveyance,Rural,127.06
MN,Manipur,28,conveyance,Rural,90.43
ML,Meghalaya,28,conveyance,Rural,106.89
MZ,Mizoram,28,conveyance,Rural,62.45
NL,Nagaland,28,conveyance,Rural,74.74
MH,Maharashtra,29,rent,Rural,13.34
MN,Manipur,29,rent,Rural,1.09
ML,Meghalaya,29,rent,Rural,6.51
MZ,Mizoram,29,rent,Rural,8.83
NL,Nagaland,29,rent,Rural,5.29
MH,Maharashtra,30,taxes & cesses,Rural,21.6
MN,Manipur,30,taxes & cesses,Rural,8.07
ML,Meghalaya,30,taxes & cesses,Rural,0.34
MZ,Mizoram,30,taxes & cesses,Rural,11.56
NL,Nagaland,30,taxes & cesses,Rural,2.69
MH,Maharashtra,31,durable goods,Rural,90.9
MN,Manipur,31,durable goods,Rural,57.57
ML,Meghalaya,31,durable goods,Rural,41.73
MZ,Mizoram,31,durable goods,Rural,102.13
NL,Nagaland,31,durable goods,Rural,94.06
MH,Maharashtra,32,non-food: total (16-31),Rural,1003.39
MN,Manipur,32,non-food: total (16-31),Rural,820.79
ML,Meghalaya,32,non-food: total (16-31),Rural,975.02
MZ,Mizoram,32,non-food: total (16-31),Rural,1286.85
NL,Nagaland,32,non-food: total (16-31),Rural,1100.89
MH,Maharashtra,33,total expenditure (15+32),Rural,1971.3
MN,Manipur,33,total expenditure (15+32),Rural,1776.68
ML,Meghalaya,33,total expenditure (15+32),Rural,2054.56
MZ,Mizoram,33,total expenditure (15+32),Rural,2613.21
NL,Nagaland,33,total expenditure (15+32),Rural,2227.32
MH,Maharashtra,34,"cooked meals recd. free inworkpl.*",Rural,2.02
MN,Manipur,34,"cooked meals recd. free inworkpl.*",Rural,1.53
ML,Meghalaya,34,"cooked meals recd. free inworkpl.*",Rural,0.58
MZ,Mizoram,34,"cooked meals recd. free inworkpl.*",Rural,2.71
NL,Nagaland,34,"cooked meals recd. free inworkpl.*",Rural,0.1
MH,Maharashtra,35,cooked meals recd. as assistance *,Rural,31.01
MN,Manipur,35,cooked meals recd. as assistance *,Rural,4.18
ML,Meghalaya,35,cooked meals recd. as assistance *,Rural,25.18
MZ,Mizoram,35,cooked meals recd. as assistance *,Rural,16.33
NL,Nagaland,35,cooked meals recd. as assistance *,Rural,0
MH,Maharashtra,36,clothing & footwear (2nd hand) **,Rural,0.45
MN,Manipur,36,clothing & footwear (2nd hand) **,Rural,15.01
ML,Meghalaya,36,clothing & footwear (2nd hand) **,Rural,4.88
MZ,Mizoram,36,clothing & footwear (2nd hand) **,Rural,5.04
NL,Nagaland,36,clothing & footwear (2nd hand) **,Rural,16.78
MH,Maharashtra,37,"@books, journals, etc. (2nd hand)",Rural,0.6
MN,Manipur,37,"@books, journals, etc. (2nd hand)",Rural,2.03
ML,Meghalaya,37,"@books, journals, etc. (2nd hand)",Rural,1.33
MZ,Mizoram,37,"@books, journals, etc. (2nd hand)",Rural,1.25
NL,Nagaland,37,"@books, journals, etc. (2nd hand)",Rural,0.2
MH,Maharashtra,38,"$durables (2ndhand)",Rural,1.97
MN,Manipur,38,"$durables (2ndhand)",Rural,2.82
ML,Meghalaya,38,"$durables (2ndhand)",Rural,0.11
MZ,Mizoram,38,"$durables (2ndhand)",Rural,4.32
NL,Nagaland,38,"$durables (2ndhand)",Rural,0.8
MH,Maharashtra,39,imputed rent,Rural,122.45
MN,Manipur,39,imputed rent,Rural,67.1
ML,Meghalaya,39,imputed rent,Rural,37.56
MZ,Mizoram,39,imputed rent,Rural,142.99
NL,Nagaland,39,imputed rent,Rural,73.72
OR,Odisha,1,cereal,Rural,171.88
PB,Punjab,1,cereal,Rural,155.41
RJ,Rajasthan,1,cereal,Rural,159.76
SK,Sikkim,1,cereal,Rural,197.11
TN,Tamil Nadu,1,cereal,Rural,202.75
OR,Odisha,2,gram,Rural,0.6
PB,Punjab,2,gram,Rural,9.29
RJ,Rajasthan,2,gram,Rural,0.94
SK,Sikkim,2,gram,Rural,2.04
TN,Tamil Nadu,2,gram,Rural,6.11
OR,Odisha,3,cereal substitutes,Rural,0.03
PB,Punjab,3,cereal substitutes,Rural,0.04
RJ,Rajasthan,3,cereal substitutes,Rural,0.21
SK,Sikkim,3,cereal substitutes,Rural,0.07
TN,Tamil Nadu,3,cereal substitutes,Rural,0.1
OR,Odisha,4,pulses and pulse products,Rural,37.44
PB,Punjab,4,pulses and pulse products,Rural,51.57
RJ,Rajasthan,4,pulses and pulse products,Rural,30
SK,Sikkim,4,pulses and pulse products,Rural,41.79
TN,Tamil Nadu,4,pulses and pulse products,Rural,61.96
OR,Odisha,5,milk and milk products,Rural,37.06
PB,Punjab,5,milk and milk products,Rural,521.45
RJ,Rajasthan,5,milk and milk products,Rural,377.51
SK,Sikkim,5,milk and milk products,Rural,183.88
TN,Tamil Nadu,5,milk and milk products,Rural,137.34
OR,Odisha,6,sugar,Rural,15.48
PB,Punjab,6,sugar,Rural,60.42
RJ,Rajasthan,6,sugar,Rural,38.57
SK,Sikkim,6,sugar,Rural,18.62
TN,Tamil Nadu,6,sugar,Rural,17.84
OR,Odisha,7,salt,Rural,3.15
PB,Punjab,7,salt,Rural,3.19
RJ,Rajasthan,7,salt,Rural,2.97
SK,Sikkim,7,salt,Rural,3.54
TN,Tamil Nadu,7,salt,Rural,3.1
OR,Odisha,8,edible oil,Rural,44.19
PB,Punjab,8,edible oil,Rural,60.54
RJ,Rajasthan,8,edible oil,Rural,52.32
SK,Sikkim,8,edible oil,Rural,94.62
TN,Tamil Nadu,8,edible oil,Rural,60.6
OR,Odisha,9,"egg, fish & meat",Rural,92.03
PB,Punjab,9,"egg, fish & meat",Rural,33.87
RJ,Rajasthan,9,"egg, fish & meat",Rural,17.25
SK,Sikkim,9,"egg, fish & meat",Rural,178.79
TN,Tamil Nadu,9,"egg, fish & meat",Rural,173.44
OR,Odisha,10,vegetables,Rural,132.44
PB,Punjab,10,vegetables,Rural,166.73
RJ,Rajasthan,10,vegetables,Rural,112.86
SK,Sikkim,10,vegetables,Rural,206.21
TN,Tamil Nadu,10,vegetables,Rural,154.85
OR,Odisha,11,fruits (fresh),Rural,30.36
PB,Punjab,11,fruits (fresh),Rural,67.33
RJ,Rajasthan,11,fruits (fresh),Rural,36.62
SK,Sikkim,11,fruits (fresh),Rural,32.05
TN,Tamil Nadu,11,fruits (fresh),Rural,84.86
OR,Odisha,12,fruits (dry),Rural,0.98
PB,Punjab,12,fruits (dry),Rural,15.81
RJ,Rajasthan,12,fruits (dry),Rural,10.93
SK,Sikkim,12,fruits (dry),Rural,12.72
TN,Tamil Nadu,12,fruits (dry),Rural,9.37
OR,Odisha,13,spices,Rural,46.84
PB,Punjab,13,spices,Rural,57.05
RJ,Rajasthan,13,spices,Rural,67.81
SK,Sikkim,13,spices,Rural,73.46
TN,Tamil Nadu,13,spices,Rural,87.18
OR,Odisha,14,"beverages, refreshments, etc.",Rural,113.69
PB,Punjab,14,"beverages, refreshments, etc.",Rural,239.57
RJ,Rajasthan,14,"beverages, refreshments, etc.",Rural,126.71
SK,Sikkim,14,"beverages, refreshments, etc.",Rural,208.69
TN,Tamil Nadu,14,"beverages, refreshments, etc.",Rural,203.55
OR,Odisha,15,food: total (1-14),Rural,726.15
PB,Punjab,15,food: total (1-14),Rural,1442.27
RJ,Rajasthan,15,food: total (1-14),Rural,1034.46
SK,Sikkim,15,food: total (1-14),Rural,1253.59
TN,Tamil Nadu,15,food: total (1-14),Rural,1203.04
OR,Odisha,16,"pan, tobacco & intoxicants",Rural,32.81
PB,Punjab,16,"pan, tobacco & intoxicants",Rural,58.77
RJ,Rajasthan,16,"pan, tobacco & intoxicants",Rural,55.9
SK,Sikkim,16,"pan, tobacco & intoxicants",Rural,105.81
TN,Tamil Nadu,16,"pan, tobacco & intoxicants",Rural,67.56
OR,Odisha,17,fuel and light,Rural,142.81
PB,Punjab,17,fuel and light,Rural,331.09
RJ,Rajasthan,17,fuel and light,Rural,208.37
SK,Sikkim,17,fuel and light,Rural,168.93
TN,Tamil Nadu,17,fuel and light,Rural,158.26
OR,Odisha,18,clothing & bedding,Rural,90.47
PB,Punjab,18,clothing & bedding,Rural,211.9
RJ,Rajasthan,18,clothing & bedding,Rural,146.11
SK,Sikkim,18,clothing & bedding,Rural,198.37
TN,Tamil Nadu,18,clothing & bedding,Rural,122.41
OR,Odisha,19,footwear,Rural,12.1
PB,Punjab,19,footwear,Rural,41.95
RJ,Rajasthan,19,footwear,Rural,28.67
SK,Sikkim,19,footwear,Rural,44.61
TN,Tamil Nadu,19,footwear,Rural,18.19
OR,Odisha,20,education,Rural,40.8
PB,Punjab,20,education,Rural,160.54
RJ,Rajasthan,20,education,Rural,94.67
SK,Sikkim,20,education,Rural,63.51
TN,Tamil Nadu,20,education,Rural,107.03
OR,Odisha,21,medical (institutional),Rural,18.68
PB,Punjab,21,medical (institutional),Rural,49.16
RJ,Rajasthan,21,medical (institutional),Rural,21.33
SK,Sikkim,21,medical (institutional),Rural,15.13
TN,Tamil Nadu,21,medical (institutional),Rural,42.8
OR,Odisha,22,medical (non-institutional),Rural,45.67
PB,Punjab,22,medical (non-institutional),Rural,87.6
RJ,Rajasthan,22,medical (non-institutional),Rural,51.1
SK,Sikkim,22,medical (non-institutional),Rural,18.16
TN,Tamil Nadu,22,medical (non-institutional),Rural,48.33
OR,Odisha,23,entertainment,Rural,20.34
PB,Punjab,23,entertainment,Rural,48.13
RJ,Rajasthan,23,entertainment,Rural,14.66
SK,Sikkim,23,entertainment,Rural,67.81
TN,Tamil Nadu,23,entertainment,Rural,36.11
OR,Odisha,24,minor durable-type goods,Rural,6.52
PB,Punjab,24,minor durable-type goods,Rural,5.42
RJ,Rajasthan,24,minor durable-type goods,Rural,3.94
SK,Sikkim,24,minor durable-type goods,Rural,14
TN,Tamil Nadu,24,minor durable-type goods,Rural,6.05
OR,Odisha,25,toilet articles,Rural,30.34
PB,Punjab,25,toilet articles,Rural,53.28
RJ,Rajasthan,25,toilet articles,Rural,39.44
SK,Sikkim,25,toilet articles,Rural,42.73
TN,Tamil Nadu,25,toilet articles,Rural,54.36
OR,Odisha,26,other household consumables,Rural,23.54
PB,Punjab,26,other household consumables,Rural,55.1
RJ,Rajasthan,26,other household consumables,Rural,37.89
SK,Sikkim,26,other household consumables,Rural,31.92
TN,Tamil Nadu,26,other household consumables,Rural,53.95
OR,Odisha,27,consum. services excl. conveyance,Rural,45.59
PB,Punjab,27,consum. services excl. conveyance,Rural,143.36
RJ,Rajasthan,27,consum. services excl. conveyance,Rural,100.09
SK,Sikkim,27,consum. services excl. conveyance,Rural,98.23
TN,Tamil Nadu,27,consum. services excl. conveyance,Rural,99.42
OR,Odisha,28,conveyance,Rural,44.13
PB,Punjab,28,conveyance,Rural,209.39
RJ,Rajasthan,28,conveyance,Rural,115.95
SK,Sikkim,28,conveyance,Rural,83.81
TN,Tamil Nadu,28,conveyance,Rural,179.85
OR,Odisha,29,rent,Rural,6.16
PB,Punjab,29,rent,Rural,13.6
RJ,Rajasthan,29,rent,Rural,3.17
SK,Sikkim,29,rent,Rural,50.98
TN,Tamil Nadu,29,rent,Rural,19.06
OR,Odisha,30,taxes & cesses,Rural,0.56
PB,Punjab,30,taxes & cesses,Rural,16.8
RJ,Rajasthan,30,taxes & cesses,Rural,6.42
SK,Sikkim,30,taxes & cesses,Rural,2.15
TN,Tamil Nadu,30,taxes & cesses,Rural,11.85
OR,Odisha,31,durable goods,Rural,52.25
PB,Punjab,31,durable goods,Rural,177.67
RJ,Rajasthan,31,durable goods,Rural,90.59
SK,Sikkim,31,durable goods,Rural,98.12
TN,Tamil Nadu,31,durable goods,Rural,97.78
OR,Odisha,32,non-food: total (16-31),Rural,612.78
PB,Punjab,32,non-food: total (16-31),Rural,1663.75
RJ,Rajasthan,32,non-food: total (16-31),Rural,1018.28
SK,Sikkim,32,non-food: total (16-31),Rural,1104.27
TN,Tamil Nadu,32,non-food: total (16-31),Rural,1123
OR,Odisha,33,total expenditure (15+32),Rural,1338.93
PB,Punjab,33,total expenditure (15+32),Rural,3106.02
RJ,Rajasthan,33,total expenditure (15+32),Rural,2052.75
SK,Sikkim,33,total expenditure (15+32),Rural,2357.86
TN,Tamil Nadu,33,total expenditure (15+32),Rural,2326.04
OR,Odisha,34,cooked meals recd. free in workpl.*,Rural,2.84
PB,Punjab,34,cooked meals recd. free in workpl.*,Rural,4.36
RJ,Rajasthan,34,cooked meals recd. free in workpl.*,Rural,0.76
SK,Sikkim,34,cooked meals recd. free in workpl.*,Rural,13.29
TN,Tamil Nadu,34,cooked meals recd. free in workpl.*,Rural,5.61
OR,Odisha,35,cooked meals recd. as assistance *,Rural,21.35
PB,Punjab,35,cooked meals recd. as assistance *,Rural,12.6
RJ,Rajasthan,35,cooked meals recd. as assistance *,Rural,23.04
SK,Sikkim,35,cooked meals recd. as assistance *,Rural,25.01
TN,Tamil Nadu,35,cooked meals recd. as assistance *,Rural,16.49
OR,Odisha,36,clothing & footwear (2nd hand) **,Rural,0.03
PB,Punjab,36,clothing & footwear (2nd hand) **,Rural,0.59
RJ,Rajasthan,36,clothing & footwear (2nd hand) **,Rural,0.23
SK,Sikkim,36,clothing & footwear (2nd hand) **,Rural,0.78
TN,Tamil Nadu,36,clothing & footwear (2nd hand) **,Rural,0.03
OR,Odisha,37,"@books, journals, etc. (2nd hand)",Rural,0.3
PB,Punjab,37,"@books, journals, etc. (2nd hand)",Rural,1.08
RJ,Rajasthan,37,"@books, journals, etc. (2nd hand)",Rural,0.51
SK,Sikkim,37,"@books, journals, etc. (2nd hand)",Rural,0.23
TN,Tamil Nadu,37,"@books, journals, etc. (2nd hand)",Rural,0.34
OR,Odisha,38,"$durables (2ndhand)",Rural,2.04
PB,Punjab,38,"$durables (2ndhand)",Rural,6.16
RJ,Rajasthan,38,"$durables (2ndhand)",Rural,2.73
SK,Sikkim,38,"$durables (2ndhand)",Rural,0
TN,Tamil Nadu,38,"$durables (2ndhand)",Rural,0.98
OR,Odisha,39,imputed rent,Rural,30.71
PB,Punjab,39,imputed rent,Rural,156.04
RJ,Rajasthan,39,imputed rent,Rural,104.94
SK,Sikkim,39,imputed rent,Rural,0
TN,Tamil Nadu,39,imputed rent,Rural,182.56
TG,Telangana,1,cereal,Rural,216.63
TR,Tripura,1,cereal,Rural,243.32
UT,Uttarakhand,1,cereal,Rural,196.9
UP,Uttar Pradesh,1,cereal,Rural,159.08
WB,West Bengal,1,cereal,Rural,209.31
TG,Telangana,2,gram,Rural,0.66
TR,Tripura,2,gram,Rural,0.31
UT,Uttarakhand,2,gram,Rural,5.81
UP,Uttar Pradesh,2,gram,Rural,3.01
WB,West Bengal,2,gram,Rural,1.36
TG,Telangana,3,cereal substitutes,Rural,0.33
TR,Tripura,3,cereal substitutes,Rural,0.1
UT,Uttarakhand,3,cereal substitutes,Rural,0.12
